 Aquifer-scale variables for Test 3  Transient, leaky, rainfall                          
         Time    Average H            Q          Kup            P
   0.0000E+00   3.0000E+01  -6.6914E-09   2.8804E+05   0.0000E+00
   8.6400E+04   3.0389E+01   5.0028E-05   1.2853E-04   6.0206E+01
   1.7280E+05   3.0388E+01   2.3235E-05   5.9902E-05   3.3682E+01
   2.5920E+05   3.0387E+01   1.7840E-05   4.6096E-05   2.5689E+01
   3.4560E+05   3.0386E+01   1.5038E-05   3.8927E-05   2.1538E+01
   4.3200E+05   3.0755E+01   5.9826E-05   7.9241E-05   3.6734E+01
   5.1840E+05   3.0753E+01   3.4026E-05   4.5177E-05   2.5157E+01
   6.0480E+05   3.0903E+01   4.6194E-05   5.1153E-05   2.3359E+01
   6.9120E+05   3.1728E+01   1.3783E-04   7.9755E-05   3.6979E+01
   7.7760E+05   3.2073E+01   1.1968E-04   5.7747E-05   2.6498E+01
   8.6400E+05   3.2541E+01   1.4212E-04   5.5927E-05   2.5632E+01
   9.5040E+05   3.2819E+01   1.3290E-04   4.7145E-05   2.1450E+01
   1.0368E+06   3.3542E+01   1.9074E-04   5.3849E-05   2.4642E+01
   1.1232E+06   3.3724E+01   1.5422E-04   4.1417E-05   1.8722E+01
   1.2096E+06   3.3718E+01   1.2600E-04   3.3891E-05   1.8622E+01
   1.2960E+06   3.4041E+01   1.4964E-04   3.7031E-05   1.6634E+01
   1.3824E+06   3.4035E+01   1.2186E-04   3.0198E-05   1.6484E+01
   1.4688E+06   3.4196E+01   1.2755E-04   3.0397E-05   1.3475E+01
   1.5552E+06   3.4905E+01   1.9809E-04   4.0384E-05   1.8230E+01
   1.6416E+06   3.4898E+01   1.4579E-04   2.9764E-05   1.6233E+01
   1.7280E+06   3.5113E+01   1.5414E-04   3.0149E-05   1.3357E+01
   1.8144E+06   3.5317E+01   1.5604E-04   2.9345E-05   1.2974E+01
   1.9008E+06   3.5311E+01   1.3445E-04   2.5315E-05   1.3657E+01
   1.9872E+06   3.5306E+01   1.2424E-04   2.3416E-05   1.2558E+01
   2.0736E+06   3.6158E+01   2.2212E-04   3.6071E-05   1.6177E+01
   2.1600E+06   3.6349E+01   1.8298E-04   2.8820E-05   1.2724E+01
   2.2464E+06   3.6342E+01   1.5683E-04   2.4730E-05   1.3318E+01
   2.3328E+06   3.6888E+01   2.0931E-04   3.0388E-05   1.3470E+01
   2.4192E+06   3.7479E+01   2.3874E-04   3.1922E-05   1.4201E+01
