 Hydraulic head for Test 3  Transient, leaky, rainfall                          
         time     x-coord.            H
   0.0000E+00   0.0000E+00   3.0000E+01
   0.0000E+00   1.0000E+01   3.0000E+01
   0.0000E+00   2.0000E+01   3.0000E+01
   0.0000E+00   3.0000E+01   3.0000E+01
   0.0000E+00   4.0000E+01   3.0000E+01
   0.0000E+00   5.0000E+01   3.0000E+01
   0.0000E+00   6.0000E+01   3.0000E+01
   0.0000E+00   7.0000E+01   3.0000E+01
   0.0000E+00   8.0000E+01   3.0000E+01
   0.0000E+00   9.0000E+01   3.0000E+01
   0.0000E+00   1.0000E+02   3.0000E+01
   0.0000E+00   1.1000E+02   3.0000E+01
   0.0000E+00   1.2000E+02   3.0000E+01
   0.0000E+00   1.3000E+02   3.0000E+01
   0.0000E+00   1.4000E+02   3.0000E+01
   0.0000E+00   1.5000E+02   3.0000E+01
   0.0000E+00   1.6000E+02   3.0000E+01
   0.0000E+00   1.7000E+02   3.0000E+01
   0.0000E+00   1.8000E+02   3.0000E+01
   0.0000E+00   1.9000E+02   3.0000E+01
   0.0000E+00   2.0000E+02   3.0000E+01
   0.0000E+00   2.1000E+02   3.0000E+01
   0.0000E+00   2.2000E+02   3.0000E+01
   0.0000E+00   2.3000E+02   3.0000E+01
   0.0000E+00   2.4000E+02   3.0000E+01
   0.0000E+00   2.5000E+02   3.0000E+01
   0.0000E+00   2.6000E+02   3.0000E+01
   0.0000E+00   2.7000E+02   3.0000E+01
   0.0000E+00   2.8000E+02   3.0000E+01
   0.0000E+00   2.9000E+02   3.0000E+01
   0.0000E+00   3.0000E+02   3.0000E+01
   0.0000E+00   3.1000E+02   3.0000E+01
   0.0000E+00   3.2000E+02   3.0000E+01
   0.0000E+00   3.3000E+02   3.0000E+01
   0.0000E+00   3.4000E+02   3.0000E+01
   0.0000E+00   3.5000E+02   3.0000E+01
   0.0000E+00   3.6000E+02   3.0000E+01
   0.0000E+00   3.7000E+02   3.0000E+01
   0.0000E+00   3.8000E+02   3.0000E+01
   0.0000E+00   3.9000E+02   3.0000E+01
   0.0000E+00   4.0000E+02   3.0000E+01
   0.0000E+00   4.1000E+02   3.0000E+01
   0.0000E+00   4.2000E+02   3.0000E+01
   0.0000E+00   4.3000E+02   3.0000E+01
   0.0000E+00   4.4000E+02   3.0000E+01
   0.0000E+00   4.5000E+02   3.0000E+01
   0.0000E+00   4.6000E+02   3.0000E+01
   0.0000E+00   4.7000E+02   3.0000E+01
   0.0000E+00   4.8000E+02   3.0000E+01
   0.0000E+00   4.9000E+02   3.0000E+01
   0.0000E+00   5.0000E+02   3.0000E+01
   0.0000E+00   5.1000E+02   3.0000E+01
   0.0000E+00   5.2000E+02   3.0000E+01
   0.0000E+00   5.3000E+02   3.0000E+01
   0.0000E+00   5.4000E+02   3.0000E+01
   0.0000E+00   5.5000E+02   3.0000E+01
   0.0000E+00   5.6000E+02   3.0000E+01
   0.0000E+00   5.7000E+02   3.0000E+01
   0.0000E+00   5.8000E+02   3.0000E+01
   0.0000E+00   5.9000E+02   3.0000E+01
   0.0000E+00   6.0000E+02   3.0000E+01
   0.0000E+00   6.1000E+02   3.0000E+01
   0.0000E+00   6.2000E+02   3.0000E+01
   0.0000E+00   6.3000E+02   3.0000E+01
   0.0000E+00   6.4000E+02   3.0000E+01
   0.0000E+00   6.5000E+02   3.0000E+01
   0.0000E+00   6.6000E+02   3.0000E+01
   0.0000E+00   6.7000E+02   3.0000E+01
   0.0000E+00   6.8000E+02   3.0000E+01
   0.0000E+00   6.9000E+02   3.0000E+01
   0.0000E+00   7.0000E+02   3.0000E+01
   0.0000E+00   7.1000E+02   3.0000E+01
   0.0000E+00   7.2000E+02   3.0000E+01
   0.0000E+00   7.3000E+02   3.0000E+01
   0.0000E+00   7.4000E+02   3.0000E+01
   0.0000E+00   7.5000E+02   3.0000E+01
   0.0000E+00   7.6000E+02   3.0000E+01
   0.0000E+00   7.7000E+02   3.0000E+01
   0.0000E+00   7.8000E+02   3.0000E+01
   0.0000E+00   7.9000E+02   3.0000E+01
   0.0000E+00   8.0000E+02   3.0000E+01
   0.0000E+00   8.1000E+02   3.0000E+01
   0.0000E+00   8.2000E+02   3.0000E+01
   0.0000E+00   8.3000E+02   3.0000E+01
   0.0000E+00   8.4000E+02   3.0000E+01
   0.0000E+00   8.5000E+02   3.0000E+01
   0.0000E+00   8.6000E+02   3.0000E+01
   0.0000E+00   8.7000E+02   3.0000E+01
   0.0000E+00   8.8000E+02   3.0000E+01
   0.0000E+00   8.9000E+02   3.0000E+01
   0.0000E+00   9.0000E+02   3.0000E+01
   0.0000E+00   9.1000E+02   3.0000E+01
   0.0000E+00   9.2000E+02   3.0000E+01
   0.0000E+00   9.3000E+02   3.0000E+01
   0.0000E+00   9.4000E+02   3.0000E+01
   0.0000E+00   9.5000E+02   3.0000E+01
   0.0000E+00   9.6000E+02   3.0000E+01
   0.0000E+00   9.7000E+02   3.0000E+01
   0.0000E+00   9.8000E+02   3.0000E+01
   0.0000E+00   9.9000E+02   3.0000E+01
   0.0000E+00   1.0000E+03   3.0000E+01
   8.6400E+04   0.0000E+00   3.0391E+01
   8.6400E+04   1.0000E+01   3.0391E+01
   8.6400E+04   2.0000E+01   3.0391E+01
   8.6400E+04   3.0000E+01   3.0391E+01
   8.6400E+04   4.0000E+01   3.0391E+01
   8.6400E+04   5.0000E+01   3.0391E+01
   8.6400E+04   6.0000E+01   3.0391E+01
   8.6400E+04   7.0000E+01   3.0391E+01
   8.6400E+04   8.0000E+01   3.0391E+01
   8.6400E+04   9.0000E+01   3.0391E+01
   8.6400E+04   1.0000E+02   3.0391E+01
   8.6400E+04   1.1000E+02   3.0391E+01
   8.6400E+04   1.2000E+02   3.0391E+01
   8.6400E+04   1.3000E+02   3.0391E+01
   8.6400E+04   1.4000E+02   3.0391E+01
   8.6400E+04   1.5000E+02   3.0391E+01
   8.6400E+04   1.6000E+02   3.0391E+01
   8.6400E+04   1.7000E+02   3.0391E+01
   8.6400E+04   1.8000E+02   3.0391E+01
   8.6400E+04   1.9000E+02   3.0391E+01
   8.6400E+04   2.0000E+02   3.0391E+01
   8.6400E+04   2.1000E+02   3.0391E+01
   8.6400E+04   2.2000E+02   3.0391E+01
   8.6400E+04   2.3000E+02   3.0391E+01
   8.6400E+04   2.4000E+02   3.0391E+01
   8.6400E+04   2.5000E+02   3.0391E+01
   8.6400E+04   2.6000E+02   3.0391E+01
   8.6400E+04   2.7000E+02   3.0391E+01
   8.6400E+04   2.8000E+02   3.0391E+01
   8.6400E+04   2.9000E+02   3.0391E+01
   8.6400E+04   3.0000E+02   3.0391E+01
   8.6400E+04   3.1000E+02   3.0391E+01
   8.6400E+04   3.2000E+02   3.0391E+01
   8.6400E+04   3.3000E+02   3.0391E+01
   8.6400E+04   3.4000E+02   3.0391E+01
   8.6400E+04   3.5000E+02   3.0391E+01
   8.6400E+04   3.6000E+02   3.0391E+01
   8.6400E+04   3.7000E+02   3.0391E+01
   8.6400E+04   3.8000E+02   3.0391E+01
   8.6400E+04   3.9000E+02   3.0391E+01
   8.6400E+04   4.0000E+02   3.0391E+01
   8.6400E+04   4.1000E+02   3.0391E+01
   8.6400E+04   4.2000E+02   3.0391E+01
   8.6400E+04   4.3000E+02   3.0391E+01
   8.6400E+04   4.4000E+02   3.0391E+01
   8.6400E+04   4.5000E+02   3.0391E+01
   8.6400E+04   4.6000E+02   3.0391E+01
   8.6400E+04   4.7000E+02   3.0391E+01
   8.6400E+04   4.8000E+02   3.0391E+01
   8.6400E+04   4.9000E+02   3.0391E+01
   8.6400E+04   5.0000E+02   3.0391E+01
   8.6400E+04   5.1000E+02   3.0391E+01
   8.6400E+04   5.2000E+02   3.0391E+01
   8.6400E+04   5.3000E+02   3.0391E+01
   8.6400E+04   5.4000E+02   3.0391E+01
   8.6400E+04   5.5000E+02   3.0391E+01
   8.6400E+04   5.6000E+02   3.0391E+01
   8.6400E+04   5.7000E+02   3.0391E+01
   8.6400E+04   5.8000E+02   3.0391E+01
   8.6400E+04   5.9000E+02   3.0391E+01
   8.6400E+04   6.0000E+02   3.0391E+01
   8.6400E+04   6.1000E+02   3.0391E+01
   8.6400E+04   6.2000E+02   3.0391E+01
   8.6400E+04   6.3000E+02   3.0391E+01
   8.6400E+04   6.4000E+02   3.0391E+01
   8.6400E+04   6.5000E+02   3.0391E+01
   8.6400E+04   6.6000E+02   3.0391E+01
   8.6400E+04   6.7000E+02   3.0391E+01
   8.6400E+04   6.8000E+02   3.0391E+01
   8.6400E+04   6.9000E+02   3.0391E+01
   8.6400E+04   7.0000E+02   3.0391E+01
   8.6400E+04   7.1000E+02   3.0391E+01
   8.6400E+04   7.2000E+02   3.0391E+01
   8.6400E+04   7.3000E+02   3.0391E+01
   8.6400E+04   7.4000E+02   3.0391E+01
   8.6400E+04   7.5000E+02   3.0391E+01
   8.6400E+04   7.6000E+02   3.0391E+01
   8.6400E+04   7.7000E+02   3.0391E+01
   8.6400E+04   7.8000E+02   3.0391E+01
   8.6400E+04   7.9000E+02   3.0391E+01
   8.6400E+04   8.0000E+02   3.0391E+01
   8.6400E+04   8.1000E+02   3.0391E+01
   8.6400E+04   8.2000E+02   3.0391E+01
   8.6400E+04   8.3000E+02   3.0391E+01
   8.6400E+04   8.4000E+02   3.0391E+01
   8.6400E+04   8.5000E+02   3.0391E+01
