 Hydraulic head for Test 3  Transient, leaky, rainfall                          
         time     x-coord.            H
   0.0000E+00   0.0000E+00   3.2500E+01
   0.0000E+00   1.0000E+01   3.2500E+01
   0.0000E+00   2.0000E+01   3.2499E+01
   0.0000E+00   3.0000E+01   3.2498E+01
   0.0000E+00   4.0000E+01   3.2496E+01
   0.0000E+00   5.0000E+01   3.2494E+01
   0.0000E+00   6.0000E+01   3.2491E+01
   0.0000E+00   7.0000E+01   3.2488E+01
   0.0000E+00   8.0000E+01   3.2484E+01
   0.0000E+00   9.0000E+01   3.2480E+01
   0.0000E+00   1.0000E+02   3.2475E+01
   0.0000E+00   1.1000E+02   3.2470E+01
   0.0000E+00   1.2000E+02   3.2464E+01
   0.0000E+00   1.3000E+02   3.2458E+01
   0.0000E+00   1.4000E+02   3.2451E+01
   0.0000E+00   1.5000E+02   3.2444E+01
   0.0000E+00   1.6000E+02   3.2436E+01
   0.0000E+00   1.7000E+02   3.2428E+01
   0.0000E+00   1.8000E+02   3.2419E+01
   0.0000E+00   1.9000E+02   3.2410E+01
   0.0000E+00   2.0000E+02   3.2400E+01
   0.0000E+00   2.1000E+02   3.2390E+01
   0.0000E+00   2.2000E+02   3.2379E+01
   0.0000E+00   2.3000E+02   3.2368E+01
   0.0000E+00   2.4000E+02   3.2356E+01
   0.0000E+00   2.5000E+02   3.2344E+01
   0.0000E+00   2.6000E+02   3.2331E+01
   0.0000E+00   2.7000E+02   3.2318E+01
   0.0000E+00   2.8000E+02   3.2304E+01
   0.0000E+00   2.9000E+02   3.2290E+01
   0.0000E+00   3.0000E+02   3.2275E+01
   0.0000E+00   3.1000E+02   3.2260E+01
   0.0000E+00   3.2000E+02   3.2244E+01
   0.0000E+00   3.3000E+02   3.2228E+01
   0.0000E+00   3.4000E+02   3.2211E+01
   0.0000E+00   3.5000E+02   3.2194E+01
   0.0000E+00   3.6000E+02   3.2176E+01
   0.0000E+00   3.7000E+02   3.2158E+01
   0.0000E+00   3.8000E+02   3.2139E+01
   0.0000E+00   3.9000E+02   3.2120E+01
   0.0000E+00   4.0000E+02   3.2100E+01
   0.0000E+00   4.1000E+02   3.2080E+01
   0.0000E+00   4.2000E+02   3.2059E+01
   0.0000E+00   4.3000E+02   3.2038E+01
   0.0000E+00   4.4000E+02   3.2016E+01
   0.0000E+00   4.5000E+02   3.1994E+01
   0.0000E+00   4.6000E+02   3.1971E+01
   0.0000E+00   4.7000E+02   3.1948E+01
   0.0000E+00   4.8000E+02   3.1924E+01
   0.0000E+00   4.9000E+02   3.1900E+01
   0.0000E+00   5.0000E+02   3.1875E+01
   0.0000E+00   5.1000E+02   3.1850E+01
   0.0000E+00   5.2000E+02   3.1824E+01
   0.0000E+00   5.3000E+02   3.1798E+01
   0.0000E+00   5.4000E+02   3.1771E+01
   0.0000E+00   5.5000E+02   3.1744E+01
   0.0000E+00   5.6000E+02   3.1716E+01
   0.0000E+00   5.7000E+02   3.1688E+01
   0.0000E+00   5.8000E+02   3.1659E+01
   0.0000E+00   5.9000E+02   3.1630E+01
   0.0000E+00   6.0000E+02   3.1600E+01
   0.0000E+00   6.1000E+02   3.1570E+01
   0.0000E+00   6.2000E+02   3.1539E+01
   0.0000E+00   6.3000E+02   3.1508E+01
   0.0000E+00   6.4000E+02   3.1476E+01
   0.0000E+00   6.5000E+02   3.1444E+01
   0.0000E+00   6.6000E+02   3.1411E+01
   0.0000E+00   6.7000E+02   3.1378E+01
   0.0000E+00   6.8000E+02   3.1344E+01
   0.0000E+00   6.9000E+02   3.1310E+01
   0.0000E+00   7.0000E+02   3.1275E+01
   0.0000E+00   7.1000E+02   3.1240E+01
   0.0000E+00   7.2000E+02   3.1204E+01
   0.0000E+00   7.3000E+02   3.1168E+01
   0.0000E+00   7.4000E+02   3.1131E+01
   0.0000E+00   7.5000E+02   3.1094E+01
   0.0000E+00   7.6000E+02   3.1056E+01
   0.0000E+00   7.7000E+02   3.1018E+01
   0.0000E+00   7.8000E+02   3.0979E+01
   0.0000E+00   7.9000E+02   3.0940E+01
   0.0000E+00   8.0000E+02   3.0900E+01
   0.0000E+00   8.1000E+02   3.0860E+01
   0.0000E+00   8.2000E+02   3.0819E+01
   0.0000E+00   8.3000E+02   3.0778E+01
   0.0000E+00   8.4000E+02   3.0736E+01
   0.0000E+00   8.5000E+02   3.0694E+01
   0.0000E+00   8.6000E+02   3.0651E+01
   0.0000E+00   8.7000E+02   3.0608E+01
   0.0000E+00   8.8000E+02   3.0564E+01
   0.0000E+00   8.9000E+02   3.0520E+01
   0.0000E+00   9.0000E+02   3.0475E+01
   0.0000E+00   9.1000E+02   3.0430E+01
   0.0000E+00   9.2000E+02   3.0384E+01
   0.0000E+00   9.3000E+02   3.0338E+01
   0.0000E+00   9.4000E+02   3.0291E+01
   0.0000E+00   9.5000E+02   3.0244E+01
   0.0000E+00   9.6000E+02   3.0196E+01
   0.0000E+00   9.7000E+02   3.0148E+01
   0.0000E+00   9.8000E+02   3.0099E+01
   0.0000E+00   9.9000E+02   3.0050E+01
   0.0000E+00   1.0000E+03   3.0000E+01
