 Hydraulic head for Test 3  Transient, leaky, rainfall                          
         time     x-coord.            H
   0.0000E+00   0.0000E+00   3.2112E+01
   0.0000E+00   1.0000E+01   3.2112E+01
   0.0000E+00   2.0000E+01   3.2111E+01
   0.0000E+00   3.0000E+01   3.2110E+01
   0.0000E+00   4.0000E+01   3.2108E+01
   0.0000E+00   5.0000E+01   3.2106E+01
   0.0000E+00   6.0000E+01   3.2104E+01
   0.0000E+00   7.0000E+01   3.2101E+01
   0.0000E+00   8.0000E+01   3.2098E+01
   0.0000E+00   9.0000E+01   3.2095E+01
   0.0000E+00   1.0000E+02   3.2091E+01
   0.0000E+00   1.1000E+02   3.2086E+01
   0.0000E+00   1.2000E+02   3.2081E+01
   0.0000E+00   1.3000E+02   3.2076E+01
   0.0000E+00   1.4000E+02   3.2070E+01
   0.0000E+00   1.5000E+02   3.2064E+01
   0.0000E+00   1.6000E+02   3.2058E+01
   0.0000E+00   1.7000E+02   3.2051E+01
   0.0000E+00   1.8000E+02   3.2043E+01
   0.0000E+00   1.9000E+02   3.2035E+01
   0.0000E+00   2.0000E+02   3.2027E+01
   0.0000E+00   2.1000E+02   3.2019E+01
   0.0000E+00   2.2000E+02   3.2010E+01
   0.0000E+00   2.3000E+02   3.2000E+01
   0.0000E+00   2.4000E+02   3.1990E+01
   0.0000E+00   2.5000E+02   3.1980E+01
   0.0000E+00   2.6000E+02   3.1969E+01
   0.0000E+00   2.7000E+02   3.1958E+01
   0.0000E+00   2.8000E+02   3.1946E+01
   0.0000E+00   2.9000E+02   3.1934E+01
   0.0000E+00   3.0000E+02   3.1922E+01
   0.0000E+00   3.1000E+02   3.1909E+01
   0.0000E+00   3.2000E+02   3.1895E+01
   0.0000E+00   3.3000E+02   3.1882E+01
   0.0000E+00   3.4000E+02   3.1868E+01
   0.0000E+00   3.5000E+02   3.1853E+01
   0.0000E+00   3.6000E+02   3.1838E+01
   0.0000E+00   3.7000E+02   3.1823E+01
   0.0000E+00   3.8000E+02   3.1807E+01
   0.0000E+00   3.9000E+02   3.1791E+01
   0.0000E+00   4.0000E+02   3.1774E+01
   0.0000E+00   4.1000E+02   3.1757E+01
   0.0000E+00   4.2000E+02   3.1739E+01
   0.0000E+00   4.3000E+02   3.1721E+01
   0.0000E+00   4.4000E+02   3.1703E+01
   0.0000E+00   4.5000E+02   3.1684E+01
   0.0000E+00   4.6000E+02   3.1665E+01
   0.0000E+00   4.7000E+02   3.1645E+01
   0.0000E+00   4.8000E+02   3.1625E+01
   0.0000E+00   4.9000E+02   3.1605E+01
   0.0000E+00   5.0000E+02   3.1584E+01
   0.0000E+00   5.1000E+02   3.1562E+01
   0.0000E+00   5.2000E+02   3.1541E+01
   0.0000E+00   5.3000E+02   3.1519E+01
   0.0000E+00   5.4000E+02   3.1496E+01
   0.0000E+00   5.5000E+02   3.1473E+01
   0.0000E+00   5.6000E+02   3.1449E+01
   0.0000E+00   5.7000E+02   3.1426E+01
   0.0000E+00   5.8000E+02   3.1401E+01
   0.0000E+00   5.9000E+02   3.1377E+01
   0.0000E+00   6.0000E+02   3.1352E+01
   0.0000E+00   6.1000E+02   3.1326E+01
   0.0000E+00   6.2000E+02   3.1300E+01
   0.0000E+00   6.3000E+02   3.1274E+01
   0.0000E+00   6.4000E+02   3.1247E+01
   0.0000E+00   6.5000E+02   3.1220E+01
   0.0000E+00   6.6000E+02   3.1192E+01
   0.0000E+00   6.7000E+02   3.1164E+01
   0.0000E+00   6.8000E+02   3.1135E+01
   0.0000E+00   6.9000E+02   3.1106E+01
   0.0000E+00   7.0000E+02   3.1077E+01
   0.0000E+00   7.1000E+02   3.1047E+01
   0.0000E+00   7.2000E+02   3.1017E+01
   0.0000E+00   7.3000E+02   3.0986E+01
   0.0000E+00   7.4000E+02   3.0955E+01
   0.0000E+00   7.5000E+02   3.0924E+01
   0.0000E+00   7.6000E+02   3.0892E+01
   0.0000E+00   7.7000E+02   3.0860E+01
   0.0000E+00   7.8000E+02   3.0827E+01
   0.0000E+00   7.9000E+02   3.0794E+01
   0.0000E+00   8.0000E+02   3.0760E+01
   0.0000E+00   8.1000E+02   3.0726E+01
   0.0000E+00   8.2000E+02   3.0692E+01
   0.0000E+00   8.3000E+02   3.0657E+01
   0.0000E+00   8.4000E+02   3.0622E+01
   0.0000E+00   8.5000E+02   3.0586E+01
   0.0000E+00   8.6000E+02   3.0550E+01
   0.0000E+00   8.7000E+02   3.0513E+01
   0.0000E+00   8.8000E+02   3.0476E+01
   0.0000E+00   8.9000E+02   3.0439E+01
   0.0000E+00   9.0000E+02   3.0401E+01
   0.0000E+00   9.1000E+02   3.0363E+01
   0.0000E+00   9.2000E+02   3.0324E+01
   0.0000E+00   9.3000E+02   3.0285E+01
   0.0000E+00   9.4000E+02   3.0246E+01
   0.0000E+00   9.5000E+02   3.0206E+01
   0.0000E+00   9.6000E+02   3.0166E+01
   0.0000E+00   9.7000E+02   3.0125E+01
   0.0000E+00   9.8000E+02   3.0084E+01
   0.0000E+00   9.9000E+02   3.0042E+01
   0.0000E+00   1.0000E+03   3.0000E+01
