#Dirchilet BC  (from /Users/houben/PhD/transect/transect/ogs/dipped/horizontal/thickness_55/transect_55_hor_RICHARDS_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  276
#Node index, name, x, y, z,   value: 
0  PRESSURE1 1.000000000000e+03 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01
1  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.500000000000e+01 1.000000000000e+01
4  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.870104451498e-01 1.000000000000e+01
5  PRESSURE1 1.000000000000e+03 0.000000000000e+00 1.168150789010e+00 1.000000000000e+01
6  PRESSURE1 1.000000000000e+03 0.000000000000e+00 1.743479729825e+00 1.000000000000e+01
7  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.313055380762e+00 1.000000000000e+01
8  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.876935273408e+00 1.000000000000e+01
9  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.435176365294e+00 1.000000000000e+01
10  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.987835047236e+00 1.000000000000e+01
11  PRESSURE1 1.000000000000e+03 0.000000000000e+00 4.534967142357e+00 1.000000000000e+01
12  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.076627917461e+00 1.000000000000e+01
13  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.612872085824e+00 1.000000000000e+01
14  PRESSURE1 1.000000000000e+03 0.000000000000e+00 6.143753810163e+00 1.000000000000e+01
15  PRESSURE1 1.000000000000e+03 0.000000000000e+00 6.669326717615e+00 1.000000000000e+01
16  PRESSURE1 1.000000000000e+03 0.000000000000e+00 7.189643898175e+00 1.000000000000e+01
17  PRESSURE1 1.000000000000e+03 0.000000000000e+00 7.704757907243e+00 1.000000000000e+01
18  PRESSURE1 1.000000000000e+03 0.000000000000e+00 8.214720776254e+00 1.000000000000e+01
19  PRESSURE1 1.000000000000e+03 0.000000000000e+00 8.719584014911e+00 1.000000000000e+01
20  PRESSURE1 1.000000000000e+03 0.000000000000e+00 9.219398621660e+00 1.000000000000e+01
21  PRESSURE1 1.000000000000e+03 0.000000000000e+00 9.714215085540e+00 1.000000000000e+01
22  PRESSURE1 1.000000000000e+03 0.000000000000e+00 1.020408338451e+01 1.000000000000e+01
23  PRESSURE1 1.000000000000e+03 0.000000000000e+00 1.068905299897e+01 1.000000000000e+01
24  PRESSURE1 1.000000000000e+03 0.000000000000e+00 1.116917291825e+01 1.000000000000e+01
25  PRESSURE1 1.000000000000e+03 0.000000000000e+00 1.164449163786e+01 1.000000000000e+01
